user,session,time,x,y,rotation
14,3346,1363966083490,294,463,-1
14,3346,1363966083506,294,463,-1
14,3346,1363966083537,294,463,-1
14,3346,1363966083834,294,463,-1
14,3346,1363966083865,294,463,-1
14,3346,1363966083880,294,463,-1
14,3346,1363966083896,294,463,-1
14,3346,1363966083927,294,463,-1
14,3346,1363966083943,294,463,-1
14,3351,1363966166407,580,811,1
14,3351,1363966166438,580,811,1
14,3351,1363966166454,580,811,1
14,3351,1363966166470,580,811,1
14,3351,1363966166470,580,811,1
14,3351,1363966166485,580,811,1
14,3351,1363966166501,580,811,1
14,3351,1363966166532,580,811,1
14,3351,1363966167390,859,752,1
14,3351,1363966167406,859,752,1
14,3351,1363966167421,859,752,1
14,3351,1363966167437,859,752,1
14,3351,1363966167452,859,752,1
14,3351,1363966167468,859,752,1
14,3351,1363966167889,859,752,1
14,3351,1363966167905,859,752,1
14,3351,1363966167920,859,752,1
14,3351,1363966167936,859,752,1
14,3351,1363966167952,859,752,1
14,3351,1363966167998,859,752,1
15,3310,1363965407292,836,706,-1
15,3310,1363965407324,836,706,-1
15,3310,1363965407348,836,706,-1
15,3310,1363965411148,727,745,-1
15,3310,1363965411236,727,745,-1
15,3310,1363965413492,567,654,-1
15,3310,1363965413524,567,654,-1
15,3310,1363965423115,563,633,1
15,3310,1363965431755,890,625,-1
15,3310,1363965432395,890,625,1
15,3310,1363965432451,890,625,1
15,3310,1363965433059,890,625,1
15,3310,1363965441642,878,349,-1
15,3310,1363965441834,878,349,-1
15,3310,1363965443434,919,349,-1
15,3310,1363965443674,919,349,-1
15,3310,1363965445746,920,357,1
15,3310,1363965447466,952,344,1
15,3324,1363965734641,647,569,-1
15,3324,1363965738977,683,546,-1
15,3324,1363965741785,670,451,1
15,3340,1363965998946,297,309,1
15,3340,1363965998978,296,309,1
15,3340,1363965999042,296,309,1
15,3340,1363965999322,286,290,1
15,3340,1363965999346,286,290,1
15,3340,1363965999378,286,290,1
15,3340,1363965999898,273,262,1
15,3340,1363966000010,273,262,1
15,3340,1363966000082,273,262,1
15,3340,1363966000458,273,262,1
15,3340,1363966000530,273,262,1
15,3340,1363966000554,273,262,1
15,3340,1363966000594,273,262,1
15,3340,1363966001410,273,262,-1
15,3340,1363966001450,273,262,-1
15,3340,1363966002178,273,262,1
15,3340,1363966002642,273,262,1
17,3163,1363574483431,514,166,1
17,3163,1363574483489,514,166,1
17,3163,1363574483527,514,166,1
17,3163,1363574484527,514,165,-1
17,3163,1363574484543,514,165,-1
17,3163,1363574484567,514,165,-1
17,3163,1363574484639,514,165,-1
17,3163,1363574526008,617,263,1
17,3163,1363574526064,617,263,1
17,3163,1363574526352,617,263,1
17,3163,1363574527224,617,263,-1
17,3163,1363574527248,617,263,-1
17,3163,1363574527280,617,263,-1
